reltrad,income
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"$150,000 or more"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"10 to under $20,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"100 to under $150,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"20 to under $30,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"30 to under $40,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"40 to under $50,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"50 to under $75,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,"75 to under $100,000"
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,Don't know/Refused (VOL.)
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Buddhist,"Less than $10,000"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
 Catholic,"$150,000 or more"
